window_start,window_end,anomaly_score,anchor_period
2021-10-13 15:21:37,2021-10-13 15:51:37,0.1738,baseline
2021-10-17 09:21:37,2021-10-17 09:51:37,0.157,baseline
2021-10-22 14:51:37,2021-10-22 15:21:37,0.0958,baseline
2021-10-27 05:51:37,2021-10-27 06:21:37,0.7803,baseline
2021-10-29 13:21:37,2021-10-29 13:51:37,0.2789,baseline
2021-10-30 11:36:37,2021-10-30 12:06:37,0.0794,baseline
2021-11-05 08:36:37,2021-11-05 09:06:37,0.0702,baseline
2021-11-11 04:36:37,2021-11-11 05:06:37,0.5444,baseline
2021-11-11 08:21:37,2021-11-11 08:51:37,0.1131,baseline
2021-11-14 09:51:37,2021-11-14 10:21:37,0.5882,baseline
2021-11-19 08:21:37,2021-11-19 08:51:37,0.0823,baseline
2021-11-19 08:36:37,2021-11-19 09:06:37,0.0769,baseline
2021-11-19 12:06:37,2021-11-19 12:36:37,0.1271,baseline
2021-11-19 12:21:37,2021-11-19 12:51:37,0.0448,baseline
2021-11-21 03:51:37,2021-11-21 04:21:37,0.591,baseline
2021-11-21 04:06:37,2021-11-21 04:36:37,0.254,baseline
2021-11-25 08:21:37,2021-11-25 08:51:37,0.1478,baseline
2021-11-26 08:21:37,2021-11-26 08:51:37,0.0605,baseline
2021-11-26 08:36:37,2021-11-26 09:06:37,0.0629,baseline
2021-11-26 13:51:37,2021-11-26 14:21:37,0.0466,baseline
2021-11-27 10:36:37,2021-11-27 11:06:37,0.0866,baseline
2021-11-28 05:36:37,2021-11-28 06:06:37,0.1001,baseline
2021-11-30 02:06:37,2021-11-30 02:36:37,0.7248,baseline
2021-12-01 12:21:37,2021-12-01 12:51:37,0.0714,baseline
2021-12-03 08:06:37,2021-12-03 08:36:37,0.3129,baseline
2021-12-03 08:21:37,2021-12-03 08:51:37,0.2757,baseline
2021-12-05 01:51:37,2021-12-05 02:21:37,0.3874,baseline
2021-12-05 05:36:37,2021-12-05 06:06:37,0.0761,baseline
2021-12-05 05:51:37,2021-12-05 06:21:37,0.0793,baseline
2021-12-06 02:06:37,2021-12-06 02:36:37,0.126,baseline
2021-12-07 01:51:37,2021-12-07 02:21:37,0.3996,baseline
2021-12-08 01:51:37,2021-12-08 02:21:37,0.0436,baseline
2021-12-08 21:36:37,2021-12-08 22:06:37,0.1099,baseline
2021-12-08 21:51:37,2021-12-08 22:21:37,0.0914,baseline
2021-12-10 00:51:37,2021-12-10 01:21:37,0.5078,baseline
2021-12-10 01:06:37,2021-12-10 01:36:37,0.5,baseline
2021-12-10 09:36:37,2021-12-10 10:06:37,0.2581,baseline
2021-12-10 09:51:37,2021-12-10 10:21:37,0.2229,baseline
2021-12-15 02:06:37,2021-12-15 02:36:37,0.6142,baseline
2021-12-19 01:51:37,2021-12-19 02:21:37,0.5752,baseline
2021-12-19 02:06:37,2021-12-19 02:36:37,0.9672,baseline
2021-12-21 04:51:37,2021-12-21 05:21:37,0.2029,baseline
2021-12-22 18:21:37,2021-12-22 18:51:37,0.8898,baseline
2021-12-22 18:36:37,2021-12-22 19:06:37,0.9898,baseline
2021-12-28 10:06:37,2021-12-28 10:36:37,0.112,baseline
2021-12-28 10:21:37,2021-12-28 10:51:37,0.106,baseline
2021-12-29 17:36:37,2021-12-29 18:06:37,0.0604,baseline
2021-12-29 17:51:37,2021-12-29 18:21:37,0.1037,baseline
2021-12-31 08:06:37,2021-12-31 08:36:37,0.1094,baseline
2021-12-31 08:21:37,2021-12-31 08:51:37,0.0734,baseline
2021-12-31 17:51:37,2021-12-31 18:21:37,0.2769,baseline
2022-01-02 11:36:37,2022-01-02 12:06:37,0.0942,baseline
2022-01-03 21:36:37,2022-01-03 22:06:37,0.1443,baseline
2022-01-03 21:51:37,2022-01-03 22:21:37,0.1487,baseline
2022-01-05 04:51:37,2022-01-05 05:21:37,0.0993,baseline
2022-01-05 05:06:37,2022-01-05 05:36:37,0.0613,baseline
2022-01-05 14:51:37,2022-01-05 15:21:37,0.0754,baseline
2022-01-07 06:36:37,2022-01-07 07:06:37,0.1391,baseline
2022-01-07 06:51:37,2022-01-07 07:21:37,0.1131,baseline
2022-01-08 11:21:37,2022-01-08 11:51:37,0.0876,baseline
2022-01-08 11:36:37,2022-01-08 12:06:37,0.067,baseline
2022-01-08 14:36:37,2022-01-08 15:06:37,0.0692,baseline
2022-01-08 14:51:37,2022-01-08 15:21:37,0.0717,baseline
2022-01-10 12:36:37,2022-01-10 13:06:37,0.2555,baseline
2022-01-10 14:51:37,2022-01-10 15:21:37,0.0514,baseline
2022-01-12 22:51:37,2022-01-12 23:21:37,0.0494,baseline
2022-01-13 11:06:37,2022-01-13 11:36:37,0.225,baseline
2022-01-13 11:21:37,2022-01-13 11:51:37,0.1355,baseline
2022-01-14 02:51:37,2022-01-14 03:21:37,0.0609,baseline
2022-01-14 12:51:37,2022-01-14 13:21:37,0.563,baseline
2022-01-15 14:51:37,2022-01-15 15:21:37,0.1834,baseline
2022-01-15 15:06:37,2022-01-15 15:36:37,0.1563,baseline
2022-01-16 08:21:37,2022-01-16 08:51:37,0.6354,baseline
2022-01-16 08:36:37,2022-01-16 09:06:37,0.1949,baseline
2022-01-16 10:51:37,2022-01-16 11:21:37,0.2119,baseline
2022-01-16 11:06:37,2022-01-16 11:36:37,0.1883,baseline
